"FilingID","Acquired Firm","SEC File Number","CRD Number"
1042045,"ALLIANZ GLOBAL INVESTORS FUND MANAGEMENT LLC","801-57798",108049
1041453,"CROSSGATE WEALTH ADVISORS","801-80475",121856
1046393,"TEACHERS ADVISORS, LLC","801-46887",107157
1047555,"JLL PARTNERS INC.","801-74194",160699
1048611,"ENVISO CAPITAL, LLC","801-67199",140542
1049311,"LONGBOARD ASSET MANAGEMENT","801-72623",155617
1055210,"WEALTHY INVESTOR LIMITED","801-108661",285775
1049082,"RETIREMENT MANAGEMENT SYSTEMS, LLC","801-70978",150351
1050216,"STRATEGIC GLOBAL ADVISORS, LLC","801-66360",139309
1052774,"GREENHOUSE FUNDS LP","801-80782",169840
1055879,"STABLEFORD CAPITAL, LLC","801-80522",173383
1057267,"MILLAR FINANCIAL","801-64509",136334
1054029,"GOFF CAPITAL PARTNERS, LP","801-73629",158397
1043922,"LEGACY ADVISORY GROUP","801-67177",141329
1043286,"W.E. DONOGHUE & CO., INC","801-27959",106705
1046238,"GRANITE STATE CAPITAL MANAGEMENT, LLC","801-108273",284888
1048603,"HUTCHINSON CAPITAL MANAGEMENT","801-48519",106158
1041855,"HIGHER MOMENT CAPITAL LLC","801-78296",159775
1049362,"CREST INVESTMENT PARTNERS LLC","801-72823",159203
1049118,"GERSTEIN FISHER","801-60870",118551
1051049,"BLACK HILL CAPITAL PARTNERS, LLC","801-108266",284778
1054623,"MSCI ESG RESEARCH INC.","801-78962",169222
1057236,"WEALTHPLAN PARTNERS, INC.","",
